package,stars,downloads,gallery,description,CRAN
ggalign,227,4026,TRUE,A 'ggplot2' Extension for Consistent Axis Alignment,TRUE
layer,NA,3917,NA,Tilt your Maps and Turn Them into 'ggplot' Plots,TRUE
ggscidca,NA,3878,NA,Plotting Decision Curve Analysis with Coloured Bars,TRUE
ggbrace,NA,3775,NA,Curly Braces for 'ggplot2',TRUE
tidyEdSurvey,NA,3631,NA,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',TRUE
ggScatRidges,NA,3417,NA,Scatter Plot Combined with Ridgelines in 'ggplot2',TRUE
ggaligner,NA,3333,NA,Visualizing Sequence Alignment by Generating Publication-Ready Plots,TRUE
ggautomap,NA,3311,NA,Create Maps from a Column of Place Names,TRUE
ggRtsy,NA,3097,NA,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',TRUE
gggenomes,641,3066,TRUE,A Grammar of Graphics for Comparative Genomics,TRUE
flowmapper,NA,3050,NA,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",TRUE
ipeaplot,NA,2971,NA,Add Ipea Editorial Standards to 'ggplot2' Graphics,TRUE
plotthis,NA,2971,NA,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",TRUE
ggthemeUL,NA,2799,NA,A 'ggplot' Theme for University of Ljubljana,TRUE
tinythemes,NA,2700,NA,Lightweight Repackaging of 'Themes' for 'ggplot2',TRUE
RGraphSpace,NA,2680,NA,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,TRUE
ggreveal,33,2664,TRUE,Reveal a 'ggplot' Incrementally,TRUE
ggvolcano,NA,2471,NA,Publication-Ready Volcano Plots,TRUE
ggpca,2,2389,TRUE,"Publication-Ready PCA, t-SNE, and UMAP Plots",TRUE
legendry,211,2360,TRUE,Extended Legends and Axes for 'ggplot2',TRUE
ggtibble,NA,2349,NA,Create Tibbles and Lists of 'ggplot' Figures for Reporting,TRUE
gglogger,NA,2277,NA,Track 'ggplot2' Calls,TRUE
ggbrick,NA,2246,NA,Waffle Style Chart with a Brick Layout in 'ggplot2',TRUE
ggfields,NA,2099,NA,Add Vector Field Layers to Ggplots,TRUE
ggsem,NA,1995,NA,Interactively Visualize Structural Equation Modeling Diagrams,TRUE
ggview,NA,1965,NA,'ggplot2' Picture Previewer,TRUE
ggfoundry,17,1878,TRUE,Shape Foundry & Geom for 'ggplot2',TRUE
ggspark,NA,1740,NA,'ggplot2' Functions to Create Tufte Style Sparklines,TRUE
ggfigdone,NA,1459,NA,Manage & Modify 'ggplot' Figures using 'ggfigdone',TRUE
ggsurveillance,NA,1432,NA,Tools for Outbreak Investigation/Infectious Disease Surveillance,TRUE
ggbraid,81,1242,TRUE,NA,NA
ggcompare,NA,1128,NA,Mean Comparison in 'ggplot2',TRUE
gg1d,NA,627,NA,Exploratory Data Analysis using Tiled One-Dimensional Graphics,TRUE
ggtaxplot,NA,581,NA,Create Plots to Visualize Taxonomy,TRUE
